Locality,RestaurantName,Address,Category,CostForTwo,Cuisines,Ratings,votes
Tonk Road,Cum N Taste,"180/4, Sisodiya Tower, Sector 18, Pratap Nagar, Nri Circle Road, Tonk Road, Jaipur",['Quick Bites'],₹300,['Chinese'],3.4,29
Tonk Road,Mom's Tiffin,"Mahavir Nagar, Durgapura, Near Tonk road, Jaipur",[],₹250,['North Indian'],3.5,20
Tonk Road,Lets Order Inn,"Plot 56, Shree Nath Colony, Opposite Airport, Near Tonk Road, Jaipur",['Quick Bites'],₹300,"['North Indian', 'Fast Food']",3.4,24
Tonk Road,Chaman Pavitra Bhojnalaya,"Plot 7, Basant Bhaar Colony, Gopalpura Mod, Tonk Road, Jaipur",['Bhojanalya'],₹150,['North Indian'],3.7,27
Tonk Road,The Italian Oven,"S-17, Joshi Colony, Barkat Nagar Main Market, Tonk Road, Jaipur",['Quick Bites'],₹450,"['Pizza', 'Fast Food', 'Ice Cream', 'Beverages']",3.4,23
Tonk Road,Sahu Matka Kulfi And Gajak,"Shop 3, Plot 1, Pratap Nagar Colony Scheme Number 3, Tonk Road, Jaipur","['Sweet Shop', 'Dessert Parlor']",₹150,"['Ice Cream', 'Mithai']",3.1,21
Tonk Road,Khandelwal Dhaba,"Plot 12 -14, Opposite Airport Runway Tonk Road, Prahalad Colony, Tonk Road, Jaipur",['Quick Bites'],₹400,"['North Indian', 'South Indian']",3.3,32
Tonk Road,Cake & Bake,"Shop 17, Ricco Kanta Chauraha, Behind Shravan Palace Marriage Garden, Pratap Nagar, Tonk Road, Jaipur",['Bakery'],₹450,['Bakery'],3.3,16
Tonk Road,Mama S Parantha,"67, Vikash Nagar, Pratap Nagar, Sanganer, Tonk Road, Jaipur",['Quick Bites'],₹400,"['North Indian', 'Fast Food']",2.4,22
Tonk Road,Terminal - 1 Cafe,"102, Doctors Colony, Airport Road, Sanganer, Jaipur",['Café'],₹400,"['Cafe', 'Fast Food', 'Beverages']",3.4,20
Tonk Road,#Jaipur Darbar,"Shop 103/04, Rana Sanga Road, Sector 10, Pratap Nagar, Near Tonk Road, Jaipur",['Quick Bites'],₹500,"['North Indian', 'Mughlai', 'Chinese', 'Fast Food']",3.6,18
Tonk Road,Ambika Caters,"68/110, Opposite AU Bank, Pratap Nagar, Tonk Road, Jaipur",[],₹200,"['North Indian', 'Fast Food', 'Street Food']",3.2,20
Tonk Road,Shree Shyam Mishthan Bhandar,"Near Bambala Bridge, Sanganer, Tonk Road, Jaipur",['Sweet Shop'],₹300,"['Mithai', 'Street Food']",3.2,27
Tonk Road,Cake's Den,"S1, 1216/17 Ranisati nagar nirman nagar Jaipur",['Bakery'],₹300,['Bakery'],3.4,19
Tonk Road,Hotel Hamza Palace,"35/53, Near Sanga Motors Work Shop Pratap Nagar, Tonk Road, Jaipur",['Quick Bites'],₹400,['North Indian'],3.2,32
Tonk Road,Manglam Pavitra Bhojanalaya,"Shop 408, 16-B, Vinayak Vihar, Dalda Factory Road, Opposite FCI Godam, Durgapura, Tonk Road, Jaipur",['Quick Bites'],₹300,['North Indian'],3.2,28
Tonk Road,Mahalaxmi South Indian Food Centre,"NRI Circle, Sector 26, NRI Colony, Tonk Road, Jaipur",['Quick Bites'],₹200,"['South Indian', 'Fast Food']",3.2,19
Tonk Road,Motherson Pizza,"CS 53, Balaji Tower Dispencery Road, Sector 11, Pratap Nagar, Tonk Road, Jaipur",['Quick Bites'],₹350,['Italian'],3.2,21
Tonk Road,Pari Veg Restaurant,"Near Pannadhay Circle, Haldighati Road, Pratap Nagar, Tonk Road, Jaipur",['Casual Dining'],₹600,['North Indian'],3.1,20
Tonk Road,Samrat Burger and Pizza Cafe,"413, Satluj Apartment, Pratap Nagar, Sitapura, Near Tonk Road, Jaipur",[],₹350,"['Pizza', 'Beverages', 'Desserts', 'Fast Food']",2.7,23
Tonk Road,Khandelwal Dhaba,"492, Shiv Colony, Sanganer Thana, Airport Circle, Near Gogiya Petrol Pump, Tonk Road, Jaipur",['Quick Bites'],₹250,['North Indian'],3.1,15
Tonk Road,Fly World Beer Bar & Restaurant,"Sector 5, Near Allahabad Bank, Power House Road, Pratap Nagar, Jaipur","['Casual Dining', 'Bar']",₹800,"['North Indian', 'Chinese', 'Finger Food']",3.3,28
Tonk Road,Swad Veg-NonVeg Restaurant,"Shop 2, Near Vikas International School, Govindpura Road, Kala Bard, Tonk Road, Jaipur",['Quick Bites'],₹500,['North Indian'],3.4,22
Tonk Road,Milan Sabjiwalas,"Shop 10, JDA Shopping Center, Bajaj Nagar, Tonk Road, Jaipur",['Quick Bites'],₹200,['North Indian'],2.8,11
Tonk Road,Jaipur Dhaba,"Shop 11 & 12, Ground Floor, Opposite Sanganer Thana, Airport Road, Tonk Road, Jaipur",['Quick Bites'],₹400,['North Indian'],3.3,20
Tonk Road,Cafe Coffee Day,"Ground Floor, Nehru Place, Opposite Nehru Children's Park, Lal Kothi, Tonk Road, Jaipur",['Café'],₹700,"['Cafe', 'Beverages', 'Sandwich', 'Fast Food', 'Desserts']",3.2,15
Tonk Road,T20 Dhaba,"Shop 12, Near Kali Mata Mandir, Haldighati Road, Pratap Nagar, Tonk Road, Jaipur",['Casual Dining'],₹600,['North Indian'],3.2,21
Tonk Road,My Way Cafe,"Shop 2, Gharonda Road, Opposite Pratap Apartment, Sector 28, Tonk Road, Jaipur",['Quick Bites'],₹250,"['Fast Food', 'Beverages']",3.3,20
Tonk Road,Ek Cup Chai,"130, Vasundhara Colony, Gopalpura Circle, Behind Big Bazar, Tonk Road, Jaipur",['Quick Bites'],₹200,"['Tea', 'North Indian', 'Street Food', 'Chinese']",3.3,9
Tonk Road,Non Veg King,"103/02, Sector 10, Pratap Nagar, Tonk Road, Jaipur",['Quick Bites'],₹450,['North Indian'],3.3,24
