Locality,RestaurantName,Address,Category,CostForTwo,Cuisines,Ratings,votes,Latitude,Longitude
Adarsh Nagar,Ganache,"642, Opposite Krishna Mandir, Adarsh Nagar, Jaipur","['Bakery', 'Café']",₹500,"['Bakery', 'Desserts', 'Cafe']",3.9,171,26.8999838,75.8248718
Adarsh Nagar,60 ML,"Hotel Rockland, 263, Frontier Colony, Adarsh Nagar, Jaipur",['Lounge'],"₹1,200","['North Indian', 'Chinese', 'Finger Food', 'Bar Food']",3.8,158,26.8985893,75.8318551
Adarsh Nagar,Mahaveer Rabri Bhandar,"22, Masala Chowk, Ram Niwas Baag, Near Albert Hall, Adarsh Nagar, Jaipur","['Food Court', 'Sweet Shop']",₹400,"['Mithai', 'Rajasthani']",3.5,157,26.9102754,75.82074779999999
Adarsh Nagar,Sahni Vaishnav Dhaba,"1, Baraf Khana Chouraha, Jawahar Nagar Road, Adarsh Nagar, Jaipur",['Dhaba'],₹300,['North Indian'],3.7,177,26.8989297,75.8333639
Adarsh Nagar,Shankar Samosa,"4, Masala Chowk, Ram Niwas Baag, Near Albert Hall, Adarsh Nagar, Jaipur",[],₹100,['Street Food'],3.5,191,26.9103293,75.8201701
Adarsh Nagar,Mughal Darbar,"Near Muslim Musafir Khana, Moti Doongri Road, Adarsh Nagar, Jaipur",['Quick Bites'],₹500,"['Mughlai', 'North Indian']",3.9,155,26.9115919,75.8237841
Adarsh Nagar,Raman Dosawala,"8, Masala Chowk, Near Albert Hall, Ram Niwas Baag, Adarsh Nagar, Jaipur",['Food Court'],₹350,['South Indian'],3.7,83,26.9103293,75.8201701
Adarsh Nagar,Samrat,"1, Masala Chowk, Ram Niwas Baag, Near Albert Hall, Adarsh Nagar, Jaipur",['Food Court'],₹100,['Street Food'],3.6,102,26.9103293,75.8201701
Adarsh Nagar,Bhagat Misthan Bhandar,"14, Masala Chowk, Ram Niwas Baag, Near Albert Hall, Adarsh Nagar, Jaipur",['Sweet Shop'],₹200,"['Street Food', 'Mithai']",3.6,161,26.9103718,75.8204786
Adarsh Nagar,Burger King,"G-12, 13, 14, Plot 1/2, Pink Square Mall, Govind Marg, Saket colony, Adarsh Nagar, Jaipur",['Quick Bites'],₹500,"['Burger', 'Fast Food', 'Beverages']",3.5,84,26.9032914,75.8368903
Adarsh Nagar,Gulab Ji Chai,"Near Albert Hall, Adarsh Nagar, Jaipur",['Food Court'],₹100,"['Tea', 'Street Food']",3.8,76,26.9103283,75.8201705
Adarsh Nagar,Radhey Ki Rasoyi,"Shop 3, Swami Ganga Das Marg, Near Dushera Maidan, Frontier Colony, Adarsh Nagar, Jaipur",['Quick Bites'],₹450,"['North Indian', 'Fast Food']",3.4,83,26.8973624,75.83106169999999
Adarsh Nagar,Sheesh Mahal Restaurant,"Moti Doongri Road, Near Muslim Musafir Khana, Adarsh Nagar, Jaipur",['Quick Bites'],₹300,['Mughlai'],3.5,111,26.9115919,75.8237841
