Neighborhood,Pincode,latitude,longitude
Dabach,303006 ,26.535750000000064,75.67594170400008
Dabla Kalan,303904 ,26.67402500000003,75.68053438900006
Dadiya,303905 ,26.705220000000054,75.80539379300006
Danau Kalan,303302 ,26.744920000000036,76.14260933500003
Dangaarwara,303001 ,27.102760000000046,76.22492738100004
Dantala Meena,303120 ,27.18865535200007,76.05820000000006
Dantil,303107 ,27.656615000000045,76.05954869400006
Dantli,303012 ,26.90840608800005,75.96652500000005
Dantri,303008 ,26.605274991000044,75.16652500000004
Daulatpura,303805 ,27.11880344900004,75.86183000000005
Dehar Ka balaji,302023 ,26.925730000000044,75.80659000000003
Dehmi Kalan,303007 ,26.81422006500003,75.55353500000007
Deogaon,303301 ,26.833198665000054,76.04988500000007
Deogudha,303701 ,27.08825500000006,75.63969125000006
Deota,303105 ,27.74574989900003,76.08626000000004
Dev Ka harwada,303104 ,27.259955000000048,75.92746614200007
Deva Ka bas,303602 ,27.24932000000007,75.44234680800008
Devan,303103 ,27.398385000000076,76.02488576700006
Devipura,303103 ,27.398385000000076,76.02488576700006
Dhamana,303009 ,26.678590000000042,75.38565875900008
Dhand,302028 ,26.991700000000037,75.88563319000008
Dhandholi,303008 ,26.605274991000044,75.16652500000004
Dhani Boraj,303328 ,27.018355000000042,75.43840400000005
Dhankya,302012 ,26.960270000000037,75.66582122300008
Dhanota,303804 ,27.29353375000005,75.75790000000006
Dharampura,303305 ,26.831415462000052,76.18516500000004
Dheendha,303328 ,27.018355000000042,75.43840400000005
Dhoblai,303712 ,27.260384574000057,75.65916812000006
Dhodsar,303712 ,27.260384574000057,75.65916812000006
Dhola,303120 ,27.18865535200007,76.05820000000006
Dhola Ka bas,303801 ,27.206260000000043,75.57590294600004
Dholi,303806 ,27.215539957000033,75.83599500000008
Dhula,303305 ,26.831415462000052,76.18516500000004
Didawata,303006 ,26.535750000000064,75.67594170400008
Doodhali,303301 ,26.833198665000054,76.04988500000007
Doongri Khurd,303603 ,27.149745000000053,75.40720517100004
Doongrikalan,303603 ,27.149745000000053,75.40720517100004
Dosara,303006 ,26.535750000000064,75.67594170400008
Dudu,303008 ,26.605274991000044,75.16652500000004
Durgapura,302018 ,26.855660000000057,75.80375100000003
Durjania Was,303706 ,26.993295000000046,75.57476113400008
Dwarikapura,303107 ,27.656615000000045,76.05954869400006
Dwarikapuri,302016 ,26.939149388000033,75.79365000000007
Etwa Bhopji,303804 ,27.29353375000005,75.75790000000006
Faliawas,303012 ,26.90840608800005,75.96652500000005
Fatehpura Khurd,303106 ,27.573030000000074,76.02734073000005
Footalo,303001 ,27.102760000000046,76.22492738100004
Gadota,303007 ,26.81422006500003,75.55353500000007
Gagardoo,303008 ,26.605274991000044,75.16652500000004
Gandhi Nagar,302015 ,26.890573800000027,75.79772500000007
Gangoti Kalan,303009 ,26.678590000000042,75.38565875900008
Garh,303302 ,26.744920000000036,76.14260933500003
Garwasi,303901 ,26.58943000000005,75.90438374400003
Gathwadi,303120 ,27.18865535200007,76.05820000000006
Gehlota,303008 ,26.605274991000044,75.16652500000004
Ghasipura,303103 ,27.398385000000076,76.02488576700006
Ghatiyali,303005 ,26.571060000000045,75.50939017400003
Gidhani,303348 ,26.841635000000053,75.08067595400007
Gohandi,303904 ,26.67402500000003,75.68053438900006
Goner,303905 ,26.705220000000054,75.80539379300006
Gonera,303108 ,27.77030459200006,76.19953000000004
Gopalpura,303108 ,27.77030459200006,76.19953000000004
Goverdhanpura,303108 ,27.77030459200006,76.19953000000004
